id,title,description,instructor,credits,created_at,updated_at
3,رياضيات أساسية,,Unknown,3,2025-12-23T00:27:00.544590,2025-12-23T00:27:00.544590
4,فيزياء متقدمة,دورة شاملة في الفيزياء,د. أحمد محمد,4,2025-12-23T00:27:00.558552,2025-12-23T00:28:36.456919
5,البرمجة بلغة بايثون,تعلم أساسيات البرمجة,د. فاطمة علي,3,2025-12-23T00:27:00.590466,2025-12-23T00:28:36.448943
6,دورة شاملة في الذكاء الاصطناعي,هذه دورة شاملة تغطي جميع جوانب الموضوع مع أمثلة عملية وتمارين تفاعلية تساعد الطلاب على فهم المفاهيم بشكل أعمق وتطبيقها في المشاريع الواقعية. الدورة مصممة لتكون مرنة ومناسبة لجميع المستويات.هذه دورة شاملة تغطي جميع جوانب الموضوع مع أمثلة عملية وتمارين تفاعلية تساعد الطلاب على فهم المفاهيم بشكل أعمق وتطبيقها في المشاريع الواقعية. الدورة مصممة لتكون مرنة ومناسبة لجميع المستويات.هذه دورة شاملة تغطي جميع جوانب الموضوع مع أمثلة عملية وتمارين تفاعلية تساعد الطلاب على فهم المفاهيم بشكل أعمق وتطبيقها في المشاريع الواقعية. الدورة مصممة لتكون مرنة ومناسبة لجميع المستويات.,د. محمد سالم,5,2025-12-23T00:27:00.601439,2025-12-23T00:28:36.450936
7,قواعد البيانات,تعلم تصميم وإدارة قواعد البيانات,د. سارة حسن,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
8,شبكات الحاسوب,أساسيات الشبكات والاتصالات,د. علي محمود,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
9,أمن المعلومات,مبادئ الأمان الرقمي والتشفير,د. لينا أحمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
10,تطوير الويب,بناء تطبيقات الويب الحديثة,د. كريم عبدالله,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
11,تعلم الآلة,خوارزميات التعلم الآلي والذكاء الاصطناعي,د. نورا سالم,5,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
12,تحليل البيانات,أدوات وتقنيات تحليل البيانات الكبيرة,د. يوسف محمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
13,هندسة البرمجيات,منهجيات تطوير البرمجيات,د. منى علي,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
14,أنظمة التشغيل,مبادئ أنظمة التشغيل والنواة,د. حسن محمود,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
15,لغات البرمجة,مقارنة بين لغات البرمجة المختلفة,د. فاطمة أحمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
16,تصميم واجهات المستخدم,تصميم تجارب المستخدم الجيدة,د. ليلى سالم,2,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
17,إدارة المشاريع,إدارة مشاريع تطوير البرمجيات,د. عمر حسن,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
18,الرياضيات المتقطعة,مفاهيم رياضية لعلوم الحاسوب,د. سارة محمد,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
19,هياكل البيانات,هياكل البيانات والخوارزميات,د. أحمد علي,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
20,تطوير الألعاب,برمجة ألعاب الفيديو,د. نور حسن,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
21,الحوسبة السحابية,خدمات الحوسبة السحابية و AWS,د. كريم سالم,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
22,إنترنت الأشياء,تطوير أجهزة IoT والاتصال,د. لينا محمود,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
23,الواقع الافتراضي,تطوير تطبيقات VR و AR,د. يوسف أحمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
24,البلوكشين,تقنية البلوكشين والعملات الرقمية,د. منى سالم,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
25,تحليل الأداء,قياس وتحسين أداء البرامج,د. حسن علي,2,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
26,البرمجة الوظيفية,مبادئ البرمجة الوظيفية,د. فاطمة محمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
27,معالجة الصور,معالجة وتحليل الصور الرقمية,د. ليلى حسن,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
28,تعلم العمق,شبكات التعلم العميق,د. عمر سالم,5,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
29,أخلاقيات الذكاء الاصطناعي,الجوانب الأخلاقية للذكاء الاصطناعي,د. سارة أحمد,2,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
30,تطوير التطبيقات المحمولة,برمجة تطبيقات Android و iOS,د. أحمد محمود,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
31,إدارة الجودة,ضمان جودة البرمجيات,د. نور علي,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
32,الأتمتة والسكريبت,أتمتة المهام باستخدام السكريبت,د. كريم حسن,2,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
33,الأمان السيبراني,حماية الأنظمة من الهجمات السيبرانية,د. لينا سالم,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
34,تصميم قواعد البيانات,تصميم قواعد البيانات المتقدمة,د. يوسف محمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
35,البرمجة الموازية,البرمجة المتعددة الخيوط,د. منى أحمد,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
36,تحليل النظم,تحليل وتصميم الأنظمة,د. حسن سالم,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
37,اللغويات الحاسوبية,معالجة اللغات الطبيعية,د. فاطمة علي,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
38,الروبوتات,برمجة الروبوتات والأتمتة,د. ليلى محمود,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
39,إدارة الشبكات,إدارة وصيانة شبكات الحاسوب,د. عمر أحمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
40,الواقع المعزز,تطوير تطبيقات الواقع المعزز,د. سارة سالم,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
41,البيانات الكبيرة,إدارة وتحليل البيانات الكبيرة,د. أحمد حسن,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
42,الأنظمة الموزعة,مبادئ الأنظمة الموزعة,د. نور محمود,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
43,البرمجة السحابية,تطوير التطبيقات السحابية,د. كريم أحمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
44,الأمان في الويب,أمان تطبيقات الويب,د. لينا علي,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
45,معالجة الإشارات,معالجة الإشارات الرقمية,د. يوسف سالم,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
46,الذكاء الاصطناعي الأخلاقي,الجوانب الأخلاقية في الذكاء الاصطناعي,د. منى محمد,2,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
47,تطوير API,تصميم وتطوير واجهات برمجة التطبيقات,د. حسن أحمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
48,البرمجة الكائنية,مبادئ البرمجة كائنية التوجه,د. فاطمة سالم,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
49,إدارة الإصدارات,استخدام Git وأنظمة إدارة الإصدارات,د. ليلى أحمد,2,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
50,التصميم المتجاوب,تصميم مواقع متجاوبة,د. عمر محمد,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
51,تحليل الأعمال,تحليل متطلبات الأعمال,د. سارة حسن,3,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
52,البرمجة الآمنة,كتابة كود آمن من الثغرات,د. أحمد علي,4,2025-12-23T04:59:09.348912,2025-12-23T04:59:09.348912
